word,verdict,note,marks
amplicon,noun,,
anticodon,noun,,
aptamer,noun,,
backtracking,noun,"The search technique of abandoning a partial solution and returning to the last choice point, used by alignment and phylogeny algorithms.",
basecalling,noun,,
bedgraph,name,"A text format for a continuous-valued track over genome coordinates. A format name, not a common noun.",
biocuration,noun,,
bioinformatics,noun,,
biostatistics,noun,"The application of statistics to biology and medicine. Not an inflected form; the -ics is a field name, as in genomics.",
cheminformatics,noun,,
chemoinformatics,noun,Cheminformatics; the application of information technology to chemistry.,
chimerism,noun,,
coalescent,noun,,
connectome,noun,,
contig,noun,,
curation,noun,,
cytometry,noun,,
deconvolution,noun,,
demultiplexing,noun,"The sorting of pooled sequencing reads back to the samples they came from, by barcode.",
dendrogram,noun,,
epigenome,noun,,
epigenomics,noun,,
exome,noun,,
fasta,name,"A text format for nucleotide or protein sequences, one header line per record. A format name, not a common noun.",
fastq,name,"A text format for sequencing reads, carrying a per-base quality score alongside each sequence. A format name, not a common noun.",
flowcell,noun,The consumable slide on which the sequencing reaction runs in a high-throughput sequencer.,
frameshift,noun,"A mutation that inserts or deletes bases in a number not divisible by three, shifting the reading frame of every codon downstream.",
genotyping,noun,,
glycome,noun,,
glycosylation,noun,,
haplogroup,noun,,
homolog,noun,"A gene or structure descended from the same ancestral sequence as another. The American spelling, wrongly read as the British side of the homolog/homologue doublet.",
immunoprecipitation,noun,,
indel,noun,,
interactome,noun,,
isoform,noun,,
kinome,noun,,
kmer,noun,,
lipidome,noun,,
metabolome,noun,,
metabolomics,noun,,
metagenome,noun,,
metagenomics,noun,,
methylation,noun,,
methylome,noun,,
microarray,noun,,
monophyly,noun,,
multiplexing,noun,,
nanopore,noun,,
newick,name,"A parenthesised text format for phylogenetic trees. A format name, not a common noun.",
nucleosome,noun,,
oligomer,noun,,
ortholog,noun,,
outgroup,noun,,
overfitting,noun,,
paralog,noun,,
paraphyly,noun,,
paratope,noun,,
pharmacogenomics,noun,,
pharmacophore,noun,,
phenome,noun,,
phylogenetics,noun,,
phylogenomics,noun,,
polytomy,noun,,
proteoform,noun,,
protomer,noun,A structural subunit of an oligomeric protein.,
pseudogene,noun,,
pyrosequencing,noun,,
regulon,noun,,
resistome,noun,,
retrotransposon,noun,,
riboswitch,noun,,
ribozyme,noun,,
rotamer,noun,,
sidechain,noun,"The chemical group attached to the backbone of an amino acid, which gives the residue its identity.",
spliceosome,noun,,
synapomorphy,noun,,
tetramer,noun,,
traceback,noun,,
transcriptome,noun,,
transcriptomics,noun,,
transfection,noun,,
transversion,noun,,
ubiquitination,noun,,
virome,noun,,
