name,wikipedia
AARP,"AARP, formerly the American Association of Retired Persons, is an interest group in the United States focusing on issues affecting those over the age of fifty."
ABB,ABB Ltd.
ALGOL,"ALGOL (; short for ""Algorithmic Language"") is a family of imperative computer programming languages originally developed in 1958."
ALS,"Amyotrophic lateral sclerosis (ALS), also known as motor neurone disease (MND) or Lou Gehrig's disease, is a rare and terminal neurodegenerative disease that results in the progressive loss of motor neurons that control voluntary muscles."
AMD,"Advanced Micro Devices, Inc."
ASCII,"ASCII (  ASS-kee),: 6  abbreviated from American Standard Code for Information Interchange, is a character encoding standard for electronic communication."
ASEAN,"ASEAN, an abbreviation for the Association of Southeast Asian Nations, is a political and economic union of 10 states in Southeast Asia."
Aachen,"Aachen (  AH-khən, German: [ˈaːxn̩] ; French and traditional English: Aix-la-Chapelle; Aachen dialect: Oche [ˈɔːxə]; Latin: Aquae Granni or Aquisgranum) is the 13th-largest city in North Rhine-Westphalia and the 27th-largest city of Germany, with around 252,000 inhabitants."
Aalborg,"Aalborg or Ålborg ( AHL-borg, US also  AWL-, Danish: [ˈʌlˌpɒˀ] ) is Denmark's fourth largest urban settlement (behind Copenhagen, Aarhus, and Odense) with a population of 119,862 (1 July 2022) in the town proper and an urban population of 143,598 (1 July 2022)."
Aalto,"Aalto is a Finnish surname meaning ""wave""."
Aare,"The Aare (Swiss Standard German: [ˈaːrə] ) or Aar (Swiss Standard German: [aːr] ) is a tributary of the High Rhine and the longest river that both rises and ends entirely within Switzerland.Its total length from its source to its junction with the Rhine comprises about 295 kilometres (183 mi), during which distance it descends 1,565 m (5,135 ft), draining an area of 17,779 km2 (6,865 sq mi), almost entirely within Switzerland, and accounting for close to half the area of the country, including all of Central Switzerland.There are more than 40 hydroelectric plants along the course of the Aare.The river's name dates to at least the La Tène period, and it is attested as Nantaror ""Aare valley"" in the Berne zinc tablet."
Aarhus,"Aarhus (, US also , Danish: [ˈɒːˌhuˀs] ; officially spelled Århus from 1948 until 1 January 2011) is the second-largest city in Denmark and the seat of Aarhus Municipality."
Aaron,"According to Abrahamic religions, Aaron ( ARR-ən or  AIR-ən) was a prophet, a high priest, and the elder brother of Moses."
Abecedarian,Abecedarians were a 16th-century German sect of Anabaptists who rejected all human learning.
Abel,Abel is a Biblical figure in the Book of Genesis within Abrahamic religions.
Abelmoschus,"Abelmoschus is a genus of about fifteen species of flowering plants in the mallow family (Malvaceae), native to tropical Africa, Asia and northern Australia."
Abenaki,The Abenaki (Abenaki: Wαpánahki) are Indigenous people of the Northeastern Woodlands of Canada and the United States.
Aberdare,"Aberdare ( ab-ər-DAIR; Welsh: Aberdâr) is a town in the Cynon Valley area of Rhondda Cynon Taf, Wales, at the confluence of the Rivers Dare (Dâr) and Cynon."
Aberdeen,"Aberdeen ( ; Scots: Aiberdeen [ˌeːbərˈdin] ; Scottish Gaelic: Obar Dheathain [ˈopəɾ ˈʝɛ.ɪɲ]; Latin: Aberdonia) is a city in North East Scotland, and is the third most populous Scottish city."
Abidjan,"Abidjan ( AB-ih-JAHN, French: [abidʒɑ̃]; N'ko: ߊߓߌߖߊ߲߬) is the largest city and the economic capital of the Ivory Coast."
Abkhazia,"Abkhazia (  ab-KAH-zee-ə), officially the Republic of Abkhazia, is a partially recognised state in the South Caucasus, on the eastern coast of the Black Sea, at the intersection of Eastern Europe and Western Asia."
Abraham,"Abraham (originally Abram) is the common Hebrew patriarch of the Abrahamic religions, including Judaism, Christianity, and Islam."
Abrocoma,"Abrocoma is a genus of abrocomid rodents found in the Andes of South America, from southern Peru to central Chile."
Abudefduf,"Abudefduf, also known as the sergeant-majors, is a genus of fish in the family Pomacentridae."
Abuja,Abuja () is the capital and eighth most populous city of Nigeria.
Abutilon,"Abutilon  is a large genus of flowering plants in the mallow family, Malvaceae."
Abyla,Abyla  was the pre-Roman name of Ad Septem Fratres (actual Ceuta of Spain).
Abyssinia,"Abyssinia (also known as Abyssinie, Abissinia, Habessinien or Al-Habash) was an ancient region in the Horn of Africa situated in the northern highlands of modern-day Ethiopia and Eritrea."
Acadia,"Acadia (French: Acadie) was a colony of New France in northeastern North America which included parts of what are now the Maritime provinces, the Gaspé Peninsula and Maine to the Kennebec River."
Acalypha,Acalypha is a genus of flowering plants in the family Euphorbiaceae.
Acanthaceae,Acanthaceae () is a family (the acanthus family) of dicotyledonous flowering plants containing almost 250 genera and about 2500 species.
Acanthocephala,"Acanthocephala  (Greek ἄκανθος, akanthos, thorn + κεφαλή, kephale, head) is a group of parasitic worms known as acanthocephalans, thorny-headed worms, or spiny-headed worms, characterized by the presence of an eversible proboscis, armed with spines, which it uses to pierce and hold the gut wall of its host."
Acanthocereus,Acanthocereus is a genus of cacti.
Acanthophis,Acanthophis is a genus of elapid snakes.
Acanthopterygii,"Acanthopterygii (meaning ""spiny finned one"") is a superorder of bony fishes in the class Actinopterygii."
Acanthoscelides,Acanthoscelides is a genus of bean weevils of the subfamily Bruchinae.
Acanthuridae,"Acanthuridae are the family of surgeonfishes, tangs, and unicornfishes."
Acanthurus,"Acanthurus is a genus of marine ray-finned fish belonging to the family Acanthuridae, which includes the surgeonfishes, unicornfishes and tangs, found in the Atlantic, Indian and Pacific Ocean."
Acapulco,"Acapulco de Juárez (Spanish: [akaˈpulko ðe ˈxwaɾes] ), commonly called Acapulco ( AK-ə-PUUL-koh, US also  AHK-; Nahuatl languages: Acapolco), is a city and major seaport in the state of Guerrero on the Pacific Coast of Mexico, 380 kilometres (240 mi) south of Mexico City."
Acaridae,The Acaridae are a family of mites in order Sarcoptiformes.
Accipiter,Accipiter () is a genus  of birds of prey in the family Accipitridae.
Accipitridae,"The Accipitridae () is one of the three families within the order Accipitriformes, and is a family of small to large birds of prey with strongly hooked bills and variable morphology based on diet."
Accipitriformes,"The Accipitriformes (; from Latin accipiter/accipitri- ""hawk"", and Neo-Latin -formes ""having the form of"") are an order of birds that includes most of the diurnal birds of prey, including hawks, eagles, vultures, and kites, but not falcons."
Accra,"Accra (; Ga: Ga or Gaga; Twi: Nkran; Dagbani: Ankara) is the capital and largest city of Ghana, located on the southern coast at the Gulf of Guinea, which is part of the Atlantic Ocean."
Aceraceae,Aceraceae were recognized as a family of flowering plants also called the maple family.
Achaea,"Achaea () or Achaia (), sometimes transliterated from Greek as Akhaia (Αχαΐα, Akhaïa [axaˈia]), is one of the regional units of Greece."
Acheron,The Acheron ( or ; Ancient Greek: Ἀχέρων Acheron or Ἀχερούσιος Acherousios; Greek: Αχέροντας Acherontas) is a river located in the Epirus region of northwest Greece.
Acheta,Acheta is a genus of crickets.
Achilles,"In Greek mythology, Achilles ( ə-KIL-eez) or Achilleus (Greek: Ἀχιλλεύς, translit."
Achomawi,"Achomawi (also Achumawi, Ajumawi and Ahjumawi) are the northerly nine (out of eleven) bands of the Pit River tribe of Palaihnihan Native Americans who live in what is now northeastern California in the United States."
Achras,"Achras is a monotypic genus of Australasian beetles in the tribe Metriorrhynchini, erected by Charles Owen Waterhouse in 1879."
Acinonyx,Acinonyx is a genus within the Felidae family.
Acipenser,Acipenser is a genus of sturgeons.
Acokanthera,Acokanthera is a genus of flowering plants in the family Apocynaceae.
Aconcagua,"Aconcagua (Spanish pronunciation: [akoŋˈkaɣwa]) is a mountain in the Principal Cordillera of the Andes mountain range, in Mendoza Province, Argentina."
Aconitum,"Aconitum (), also known as aconite, monkshood, wolfsbane, leopard's bane, devil's helmet, or blue rocket, is a genus of over 250 species of flowering plants belonging to the family Ranunculaceae."
Acorus,Acorus is a genus of monocot flowering plants.
Acre,The acre ( AY-kər) is a unit of land area used in the British imperial and the United States customary systems.
Acrididae,"Acrididae, commonly called short-horned grasshoppers, are the predominant family of grasshoppers, comprising some 10,000 of the 11,000 species of the entire suborder Caelifera."
Acridotheres,"Acridotheres is a genus of starlings, the ""typical"" mynas, which are tropical members of the family Sturnidae."
Acrocarpus,"Acrocarpus is a genus of trees in the legume family, Fabaceae."
Acrocomia,"Acrocomia is a genus of palms which is native to the Neotropics, ranging from Mexico in the north, through Central America and the Caribbean, and through South America south to Argentina."
Acropora,Acropora is a genus of small polyp stony coral in the phylum Cnidaria.
Acrostichum,Acrostichum is a fern genus in the Parkerioideae subfamily of the Pteridaceae.
Actias,"Actias is a genus of Saturniid moths, which contains the Asian-American moon moths."
Actifed,Actifed is a registered trademark for a combination antihistamine and nasal decongestant medication used for cold and allergy symptoms.
Actinia,Actinia is a genus of sea anemones in the family Actiniidae.
Actinidia,"Actinidia  is a genus of woody and, with a few exceptions, dioecious plants native to temperate eastern Asia, occurring throughout most of China, Taiwan, Korea, and Japan, and extending north to southern areas of Russian Far East and south into Indochina."
Actinidiaceae,The Actinidiaceae are a small family of flowering plants.
Actiniopteris,Actiniopteris is a fern genus in the subfamily Pteridoideae of the family Pteridaceae.
Actinomycetaceae,The Actinomycetaceae (often called actinomycetes or mycelial bacteria) are a family of bacteria in the order Actinomycetales that contains the medically important genus Actinomyces.
Actinomycetales,The Actinomycetales is an order of Actinomycetota.
Actinozoa,"Actinozoa is an obsolescent term in systematic zoology, first used by Henri Marie Ducrotay de Blainville in his Manuel d'Actinologie (1834) to designate animals the organs of which were disposed radially about a centre."
Actitis,"Actitis is a small genus of waders, comprising just two very similar bird species."
Actium,"Actium or Aktion (Ancient Greek: Ἄκτιον) was a town on a promontory in ancient Acarnania at the entrance of the Ambraciot Gulf, off which Octavian gained his celebrated victory, the Battle of Actium, over Antony and Cleopatra, on September 2, 31 BCE.


== History ==
Actium belonged originally to the Corinthian colonists of Anactorium, who probably founded the sanctuary of Apollo Actius."
Adam,"Adam is a mythological being conceptualized as the first human-being aware of God, and features as such in various belief systems (including Judaism, Gnosticism, Christianity, and Islam)."
Adana,Adana (Turkish pronunciation: [aˈda.na] ; Armenian: Ադանա; Greek: Άδανα) is a  large city in southern Turkey.
Adansonia,Adansonia is a genus made up of eight species of medium-to-large deciduous trees known as baobabs ( or ).
Adapa,Adapa was a Mesopotamian mythical figure who unknowingly refused the gift of immortality.
Adar,"Adar (Hebrew: אֲדָר‎, Standard ʾAdār; from Akkadian adaru) is the sixth month of the civil year and the twelfth month of the religious year on the Hebrew calendar, roughly corresponding to the month of March in the Gregorian calendar."
Addressograph,An addressograph is an address labeler and labeling system.
Adelaide,"Adelaide (  AD-il-ayd, locally [ˈædɜlæɪ̯d]; Kaurna: Tarntanya, pronounced [ˈd̪̥aɳɖaɲa]) is the capital city of South Australia, the state's largest city and the fifth-most populous city in Australia."
Adelges,Adelges is a genus of insects which feed on conifers.
Adelgidae,"The Adelgidae are a small family of the Hemiptera closely related to the aphids, and often included in the Aphidoidea with the Phylloxeridae or placed within the superfamily Phylloxeroidea as a sister of the Aphidoidea within the infraorder Aphidomorpha."
Aden,"Aden (Arabic: عَدَنْ, romanized: ʿAdan,  Old South Arabian: 𐩲𐩵𐩬) is a port city located in Yemen in the southern part of the Arabian peninsula, positioned near the eastern approach to the Red Sea."
Adenanthera,Adenanthera is a genus of flowering plants in the family Fabaceae.
Adenium,Adenium is a genus of flowering plants in the family Apocynaceae first described as a genus in 1819.
Adenota,"Adenota is an alternative genus or sub-genus within the Reduncinae sub-family of family Bovidae, composed of the species Kobus kob (Kob) and Kobus vardonii (Puku)."
Adiantum,"Adiantum (), the maidenhair fern (not to be confused with the similar-looking maidenhair spleenwort fern), is a genus of about 250 species of ferns in the subfamily Vittarioideae of the family Pteridaceae, though some researchers place it in its own family, Adiantaceae."
Adige,"The Adige (Italian: [ˈaːdidʒe]; German: Etsch [ɛtʃ] ; Venetian: Àdexe [ˈadeze]; Romansh: Adisch [ɐˈdiːʃ] ; Ladin: Adesc; Latin: Athesis; Ancient Greek: Ἄθεσις, romanized: Áthesis, or Ἄταγις, Átagis) is the second-longest river in Italy, after the Po."
Aditi,"Aditi  (Sanskrit: अदिति, lit."
Adlumia,Adlumia is a genus of two species in the family Papaveraceae.
Adonic,"An adonic (Latin: adoneus) is a unit of Aeolic verse, a five-syllable metrical foot consisting of a dactyl followed by a trochee."
Adonis,"In Greek mythology, Adonis (Ancient Greek: Ἄδωνις, romanized: Adōnis; Phoenician: 𐤀𐤃𐤍, romanized: Adón) was the mortal lover of the goddess Aphrodite and Persephone, who was famous for having achieved immortality."
Adrian,Adrian is a form of the Latin given name Adrianus or Hadrianus.
Advent,Advent is a season observed in most Christian denominations as a time of expectant waiting and preparation for both the celebration of the Nativity of Christ at Christmas and the return of Christ at the Second Coming.
Adventism,"Adventism is a branch of Protestant Christianity that believes in the imminent Second Coming (or the ""Second Advent"") of Jesus Christ."
Aedes,"Aedes (also known as the tiger mosquito) is a genus of mosquitoes originally found in tropical and subtropical zones, but now found on all continents except Antarctica."
Aegiceras,"Aegiceras  is a genus of trees and shrubs from Southeast Asia, Malesia, Australia and the Pacific Island,."
Aegilops,"Aegilops is a genus of Eurasian and North American plants in the grass family, Poaceae."
Aegina,"Aegina (; Greek: Αίγινα, Aígina; Ancient Greek: Αἴγῑνα) is one of the Saronic Islands of Greece in the Saronic Gulf, 27 km (17 mi) from Athens."
Aegisthus,"Aegisthus (; Ancient Greek: Αἴγισθος; also transliterated as Aigisthos, [ǎi̯ɡistʰos]) was a figure in Greek mythology."
Aegospotami,"Aegospotami (Ancient Greek: Αἰγὸς Ποταμοί, Aigos Potamoi) or Aegospotamos (i.e."
Aegypius,Aegypius is a genus of Old World vultures found in the subfamily Gypinae.
Aegyptopithecus,"Aegyptopithecus (""Egyptian ape"", from Greek Αίγυπτος ""Egypt"" and πίθηκος ""ape"") is an early fossil catarrhine that predates the divergence between hominoids (apes) and cercopithecids (Old World monkeys)."
Aeneas,"In Greco-Roman mythology, Aeneas ( ih-NEE-əs, Latin: [äe̯ˈneːäːs̠]; from Ancient Greek: Αἰνείας, romanized: Aineíās) was a Trojan hero, the son of the Trojan prince Anchises and the Greek goddess Aphrodite (equivalent to the Roman Venus)."
Aeneid,"The Aeneid ( ih-NEE-id; Latin: Aenē̆is [ae̯ˈneːɪs] or [ˈae̯neɪs]) is a Latin epic poem that tells the legendary story of Aeneas, a Trojan who fled the fall of Troy and travelled to Italy, where he became the ancestor of the Romans."
Aengus,"In Irish mythology, Aengus or Óengus is one of the Tuatha Dé Danann and probably originally a god associated with youth, love, summer and poetic inspiration."
Aeolis,"Aeolis (; Ancient Greek: Αἰολίς, romanized: Aiolís), or Aeolia (; Ancient Greek: Αἰολία, romanized: Aiolía), was an area that comprised the west and northwestern region of Asia Minor (modern-day Turkey), mostly along the coast, and also several offshore islands (particularly Lesbos), where the Aeolian Greek city-states were located."
Aeolus,"In Greek mythology, Aeolus or Aiolos (; Ancient Greek: Αἴολος [ǎi̯.o.los], Greek: [ˈe.o.los] ) is a name shared by three mythical characters."
Aeonium,"Aeonium, the tree houseleeks, is a genus of about 35 species of succulent, subtropical plants of the family Crassulaceae."
Aepyceros,"Aepyceros is a genus of African antelope that contains a single living species, the impala."
Aertex,"Aertex was a British clothing company based in Manchester, established in 1888, and also the name of the fabric manufactured by the company."
Aeschylus,"Aeschylus (UK: , US: ; Greek: Αἰσχύλος Aiskhýlos; c. 525/524 – c. 456/455 BC) was an ancient Greek tragedian often described as the father of tragedy."
Aesculus,"The genus Aesculus ( or ), with species called buckeye and horse chestnut, comprises 13–19 species of flowering plants in the family Sapindaceae."
Aesop,"Aesop ( EE-sop or  AY-sop; Greek: Αἴσωπος, Aísōpos; c."
Aethionema,Aethionema is a genus of flowering plants within the family Brassicaceae.
Aethusa,"In Greek mythology, Aethusa (Ancient Greek: Αἵθουσα) was a daughter of Poseidon and the Pleiad Alcyone, daughter of Atlas."
Aetobatus,"Aetobatus is a genus of eagle rays native to the Atlantic, Pacific and Indian Oceans."
Affirmed,"Affirmed (February 21, 1975 – January 12, 2001) was a champion American Thoroughbred racehorse who is the eleventh winner of the American Triple Crown."
Afghanistan,"Afghanistan, officially the Islamic Emirate of Afghanistan, is a landlocked country located at the crossroads of Central Asia and South Asia."
Aframomum,"Aframomum is a genus in the ginger family, Zingiberaceae."
Africa,Africa is the world's second-largest and second-most populous continent after Asia.
Afrikaans,"Afrikaans ( AF-rih-KAHNSS,  AHF-, -⁠KAHNZ) is a West Germanic language that evolved in the Dutch Cape Colony from the Dutch vernacular of Holland proper (i.e."
Afro,"The afro is a hair style created by combing out natural growth of afro-textured hair, or specifically styled with chemical curling products by individuals with naturally curly or straight hair."
Afrocarpus,Afrocarpus is a genus of conifers of the family Podocarpaceae.
Agalinis,"Agalinis (false foxglove) is a genus of about 70 species in North, Central, and South America that until recently was aligned with members of the family Scrophulariaceae."
