word,verdict,note,marks
afterparty,noun,a party held after a main event,
aircon,noun,"air conditioning, or the equipment that provides it",
allover,adj,covering the whole surface of something,
autotune,name,a trade name for pitch-correction software,
bellend,noun,the glans of the penis; in British slang a contemptible person,
booboo,noun,"a minor injury, or a foolish mistake",
braindead,adj,having irreversibly lost all brain function,
byelection,noun,an election held between general elections to fill a single seat,
crossdresser,noun,a person who wears clothing typical of another gender,
crossdressing,noun,the wearing of clothing typical of another gender,
diecast,adj,made by forcing molten metal into a mould under pressure,
dropoff,noun,"a steep descent, or a sharp decline in amount",
ezine,noun,a magazine published in electronic form,
facedown,adj,lying with the face towards the ground,
faceoff,noun,a confrontation; in ice hockey the drop of the puck that starts play,
failsafe,noun,a device or design that returns to a safe state when it fails,
fatass,noun,a fat person,
freeform,adj,not following a regular shape or a set structure,
froyo,noun,frozen yogurt,
gaga,adj,"foolishly enthusiastic, or senile",
halfpipe,noun,a U-shaped ramp used in skateboarding and snowboarding,
hawkeye,noun,a person with very keen eyesight,
hifi,noun,equipment for high-quality sound reproduction,
hiphop,noun,"a musical genre and culture built on rapping, DJing and breakdancing",
howto,noun,a set of instructions for performing a task,
kickstarter,noun,the pedal lever that starts a motorcycle engine,
kneejerk,adj,made automatically and without thought,
knowhow,noun,practical knowledge of how to do something,
layin,noun,a close-range shot in basketball played off the backboard,
midsize,adj,of medium size,
nonbinary,adj,not identifying as exclusively male or female,
nonlethal,adj,not capable of causing death,
nono,noun,something that is not allowed,
offseason,noun,the part of the year outside a sport's or a trade's busy season,
peepee,noun,a childish word for the penis,
popo,noun,a slang name for the police,
powerup,noun,an item in a video game giving a player a temporary advantage,
preamp,noun,an amplifier that boosts a weak signal before the main amplifier,
readymade,noun,an everyday manufactured object presented as a work of art,
scifi,noun,science fiction,
seaview,noun,a view of the sea from a building,
shoutout,noun,a brief public mention of someone in appreciation,
signup,noun,the act of registering for something,
standalone,adj,"working on its own, without needing anything else",
strapon,noun,a dildo worn in a harness,
tata,noise,a childish or informal way of saying goodbye,
thankyou,noun,an expression of gratitude,
timelapse,noun,a film made from frames captured at long intervals and played at normal speed,
tipoff,noun,a piece of warning information; in basketball the jump ball that starts play,
todo,noun,a task still to be done,
tomtom,noun,a drum beaten with the hands,
warmup,noun,light exercise done in preparation for activity,
widowmaker,noun,"something notoriously likely to kill, such as a hanging branch or a blocked artery",
writeup,noun,a written account or review,
yoyo,noun,a toy spool wound with string that rises and falls as the string unwinds,
yule,noun,the historical midwinter festival of the Germanic peoples,
