word,zipf,countable,uncountable,n_senses,first_gloss,variant_of,flag_reason,wikt_pos_list,wikt_dominant_pos,wikt_abbrev,corpus_n,corpus_dominant,corpus_noun_share,corpus_tag,corpus_name,likely_noun,name_suspect,pos_tags,lemma,pos_overlap,plural_of,verdict,scowl_verdict,scowl_size,scowl_pos,scowl_american_standard
rex,3.89,0,0,2,"A king, particularly in ancient Rome.",,,noun:2;verb:1,noun,False,26,PROPN,0.346,,False,True,False,NOUN,,,,,absent,,,
paco,2.99,1,1,2,An alpaca.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
freer,2.99,0,0,1,One who frees.,,,adj:1;noun:1,adj,False,9,ADJ,0.0,usually adjective (corpus),False,True,False,,,,,,absent,,,
dougie,2.99,0,0,1,A hip-hop dance generally performed by moving one's body in a shimmy style and passing a hand through or near the hair on one's own head.,,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
waterhouse,2.99,0,0,1,A house on floats.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
atta,2.99,1,1,1,A type of wholegrain flour from the Indian subcontinent.,,,contraction:1;noun:1,contraction,True,9,PROPN,0.0,,False,True,False,,,,,,absent,,,
fic,2.99,1,0,1,A fictional story set within a preexisting fandom; a fanfic.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
garnett,2.99,0,0,1,A machine that reduces textile fibre waste to a fibrous state in preparation for carding,,,noun:1;verb:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
tait,2.99,0,0,1,The honey possum (Tarsipes rostratus).,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
ged,2.99,0,0,2,The pike or luce.,,,noun:2,noun,False,3,PROPN,0.0,,False,True,False,,,,,,absent,,,
sil,2.99,0,1,1,A yellowish pigment used by painters in ancient times.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
hoon,2.99,0,0,6,A worthless person; a hooligan or lout.,,,noun:6;verb:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
beal,2.99,0,0,1,A small inflammatory tumor; pustule.,,,verb:2;noun:1,verb,False,0,,,,False,True,False,,,,,,absent,,,
bibi,2.99,0,0,2,A grandmother.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
convo,2.99,0,0,1,A conversation.,,,noun:1;verb:1,noun,False,3,NOUN,1.0,,False,True,False,,,,,,absent,,,
atari,2.98,0,0,1,A move that threatens the immediate capture of one or more stones.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
petri,2.98,0,0,1,Ellipsis of petri dish.,petri dish,,noun:1,noun,True,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
lutz,2.98,0,0,2,"A jump in which the skater takes off from the back outside edge of one skate, rotates counterclockwise and lands on the back outside edge of the other skate.",,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
saas,2.98,0,0,1,"A mother-in-law, especially the mother of the groom, who lives with the married couple.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
dosing,2.97,0,0,1,The administration of a dose,,,noun:1;verb:1,noun,False,0,,,,False,True,False,NOUN;VERB,,"noun, also verb",,,absent,,,
arg,2.97,0,1,2,An argument; a value passed as a parameter.,arg.,,noun:2;intj:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
mex,2.97,0,0,1,The mex of a subset of a well-ordered set is the smallest value from the whole set that does not belong to the subset.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
collab,2.97,0,0,1,"A collaboration, especially a work produced by several musicians who do not usually work together.",,,noun:1;verb:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
naga,2.97,0,0,3,A loincloth.,,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
drury,2.97,0,0,4,"Love, especially sexual love; courtship, sex.",,,noun:4,noun,False,3,PROPN,0.0,,False,True,False,,,,,,absent,,,
ug,2.97,1,1,6,"A feeling of fear, horror or disgust.",,,noun:6;verb:4;adj:1,noun,False,2,PROPN,0.0,,False,True,False,,,,,,absent,,,
deen,2.97,0,1,1,religion; religiosity; the way of life of a pious Muslim,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
sith,2.97,0,0,3,"A journey, way.",,,noun:3;conj:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
crewe,2.96,0,0,1,"A group of people, especially in Louisiana, who support a Mardi Gras float in parades, as well as other charity work.",,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
gabi,2.96,0,0,3,"Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.",,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
bertram,2.96,0,0,1,A flowering plant of species Anacyclus pyrethrum.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
soe,2.96,0,0,1,"a large wooden vessel for carrying water, especially one to be carried on a pole between two people.",,,conj:1;noun:1,conj,False,1,ADV,0.0,,False,True,False,,,,,,absent,,,
herzog,2.96,0,0,1,A German duke.,,,noun:1,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
ight,2.96,0,1,1,possession,,,contraction:1;noun:1,contraction,True,0,,,,False,True,False,,,,,,absent,,,
fleur,2.96,0,0,1,fleur-de-lis,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
nai,2.96,0,0,2,barber.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
kaya,2.96,0,1,3,"Torreya nucifera, the Japanese nutmeg tree.",,,noun:3,noun,False,0,,,,False,True,False,,,,,,absent,,,
ayn,2.96,0,0,2,"Synonym of ayin, the various letters representing the consonant /ʕ/ in Semitic languages.",,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
cee,2.96,0,0,2,The name of the Latin script letter C/c.,,,noun:2,noun,False,0,,,,False,True,False,,,,,,absent,,,
commenter,2.96,0,0,1,One who comments.,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
cleary,2.95,0,0,1,"A clear marble (sphere used in games), usually colored, but without decoration or design.",,,noun:1,noun,False,1,PROPN,0.0,,False,True,False,,,adjective-like (morphology),,,absent,,,
deo,2.95,1,1,1,deodorant,,,noun:1,noun,False,0,,,,False,True,False,,,,,,absent,,,
croc,2.95,0,0,2,A crocodile.,,,noun:2,noun,False,1,PROPN,0.0,,False,True,False,,,,,,absent,,,
